cell_height,light_count,lamp_count,light_device,lamp_type,light_power,time,days,marker
,80,4,"ДПО LG, ЭРА, ЛЕД",светодиодная,36,8,365,
,100,4,ЭРА,светодиодная,36,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,4,ЭРА,светодиодная,36,8,365,
,100,4,ЭРА,светодиодная,36,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,4,ЭРА,светодиодная,36,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,4,ЭРА,светодиодная,75,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,2,ЭРА,светодиодная,75,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,4,ЭПРА,светодиодная,36,8,365,
,200,4,ЛЭД,светодиодная,36,8,365,
,200,4,ЭПРА,светодиодная,36,8,365,
,150,4,ЛЭД,светодиодная,36,8,365,
,150,2,ЭРА,светодиодная,75,8,365,
,150,2,ЛЭД,светодиодная,75,8,365,
,30,2,ЭРА,светодиодная,75,8,365,
,30,4,ЛЭД,светодиодная,36,8,365,
,30,4,ЭРА,светодиодная,36,8,365,
,110,4,ЭРА,светодиодная,36,8,365,
,100,4,ЭРА,светодиодная,36,8,365,
,100,4,ЛЭД,светодиодная,36,8,365,
,100,4,ЭПРА,светодиодная,36,8,365,
,200,4,ЛЭД,светодиодная,36,8,365,
,200,2,ЭРА,светодиодная,75,8,365,
,42,,"Светильник люминисцентный, светодиодные светильники",Люминисцентная,90,16,365,Необходима замена
,6,2,"Светильник люминисцентный, светодиодные светильники",Люминисцентная,90,16,365,Необходима замена
,6,4,Светильник Армстронг,Светодиодная,48,16,365,
,12,2,Светильник люминисцентный,Люминисцентная,90,4,365,Необходима замена
,2,2,"Светильник люминисцентный, светодиодные светильники",Люминисцентная,90,8,365,
,50,4,Светильник Армстронг,Светодиодная,48,16,365,
,48,28,"Светильник люминисцентный, светодиодный","Светодиодная, люминисцентная",48,8,245,Необходима замена светильников с люминисцентными лампами
,4,,Светильник светодиодный,Светодиодная,90,16,245,
,6,8,Светильник Армстронг,Светодиодная,48,8,245,
,2,2,Светильник люминисцентный,Люминисцентная,90,8,245,Необходима замена
,2,2,Светильник люминисцентный,Люминисцентная,90,8,245,Необходима замена
